Duisburg-Wanheim HKW III B;StW Duisburg;NW;47249;Duisburg;245,0;167,0;2005;GuD;Erdgas
Eisenhüttenstadt;VEO GmbH;BB;15890;Eisenhüttenstadt;116,0;80,0;1998 (2013);IKW / HKW;Konvertergas
Emsland-Lingen (KLE);KLE GmbH (RWE / E.ON);NI;49811;Lingen;1400,0;;1988;DWR;Uran
Emsland B (Lingen) DT;RWE Power AG;NI;49808;Lingen;372,0;37,0;1974;GuD;Erdgas
Emsland B (Lingen) GT 1 u. 2;RWE Power AG;NI;49808;Lingen;116,0;n.b.;2011;GuD;Erdgas
Emsland C (Lingen) DT;RWE Power AG;NI;49808;Lingen;372,0;37,0;1975;GuD;Erdgas
Emsland C (Lingen) GT 1 u. 2;RWE Power AG;NI;49808;Lingen;116,0;n.b.;2011;GuD;Erdgas
Emsland D (Lingen) DT;RWE Power AG;NI;49808;Lingen;326,0;50,0;2010;GuD;Erdgas
Emsland D (Lingen) GT 1;RWE Power AG;NI;49808;Lingen;281,0;n.b.;2010;GuD;Erdgas
Emsland D (Lingen) GT 2;RWE Power AG;NI;49808;Lingen;281,0;n.b.;2010;GuD;Erdgas
Erfurt-Ost;StW Erfurt (SWE);TH;99087;Erfurt;118,6;264,0;1999 / 2014;GuD;Erdgas
Erzhausen 1-4 / Leine;Statkraft Markets GmbH;NI;37574;Einbeck;222,9;;1964;PSW;Wasser
Esperstedt-Obhausen;HSE AG / N-ERGIE AG / StW Leipzig;ST;06279;Esperstedt;122,1;;2001-2013;WEA;Wind (L)
Fehmarn;Windpark Fehmarn GmbH;SH;23769;Fehmarn;170,2;;2009;WEA;Wind (L)
Feldheim I-V;Energiequelle GmbH Windpark Feldheim KG;BB;14929;Feldheim;143,1;;2005-2016;WEA;Wind (L)
Flensburg K09 bis K12;StW Flensburg;SH;24939 ;Flensburg;177,0;291,0;1974 / 2016;HKW / GuD;Steinkohle, Erdgas
Franken I-1 (Nürnberg);Uniper SE;BY;90449 ;Nürnberg;395,0;30,0;1973;GuD;Erdgas
Franken I-2 (Nürnberg);Uniper SE;BY;90449 ;Nürnberg;448,0;n.b.;1976;GuD;Erdgas
Frankfurt-Hoechst A u. B;InfraServ GmbH Hoechst KG;HE;65926;Frankfurt / M.;162,2;488,0;2003 / 1989;GuD / HKW;Erdgas, Steinkohle
Frankfurt-Hoechst C;InfraServ GmbH Hoechst KG;HE;65926;Frankfurt / M.;105,7;126,0;2011;GT;Erdgas
Frankfurt-West 2 u. 3;Mainova AG;HE; 60627;Frankfurt / M.;144,0;210,0;1989;HKW;Steinkohle
Frankfurt-West 4 u. 5;Mainova AG;HE; 60627;Frankfurt / M.;140,0;150,0;1994 / 2017;G/AK u. DT;Erdgas
Frechen / Wachtberg;RWE Power AG;NW;50226;Frechen;201,0;251,0;1959 (1988);IKW;Braunkohle
Frimmersdorf P;RWE Power AG;NW;41517;Grevenbroich;325,0;30,0;1966 (1990);HKW;Braunkohle
Frimmersdorf Q;RWE Power AG;NW;41517;Grevenbroich;310,0;;1970 (1990);DKW;Braunkohle
Gambsheim / Rhein 1-4;EnBW / EDF;BW;77866;Gambsheim;108,0;;1974;LWK;Wasser
Geesthacht A-C / Elbe;Vattenfall Wasserkraft GmbH;SH;21502 ;Geesthacht;120,0;;1959;PSW;Wasser
Gelsenkirchen-Scholven B;Uniper SE;NW;45896 ;Gelsenkirchen;370,0;;1968;DKW;Steinkohle
Gelsenkirchen-Scholven C;Uniper SE;NW;45896 ;Gelsenkirchen;370,0;;1969;DKW;Steinkohle
Gersteinwerk F (Werne);RWE Power AG;NW;59368 ;Werne/Lippe;427,0;;1973;GT / DT;Erdgas
Gersteinwerk G (Werne);RWE Power AG;NW;59368 ;Werne/Lippe;427,0;;1973;GT / DT;Erdgas
Gersteinwerk K1 (GT) (Werne);RWE Power AG;NW;59368 ;Werne/Lippe;112,0;;2004;GT;Erdgas
Gersteinwerk K2 (DT) (Werne);RWE Power AG;NW;59368 ;Werne/Lippe;665,5;;1984;DT;Steinkohle
GlobalTech 1;Global Tech I Offshore Wind GmbH;Offshore;;Nordsee;400,0;;2015;WEA;Wind (O)
